iteration,state
0,0.4
1,0.9359999999999999
2,0.2336256000000002
3,0.6982742481960964
4,0.8216805577588637
5,0.5714343131637907
6,0.9550988417209882
7,0.16725167263043805
8,0.5431863474677594
9,0.9677262636303364
10,0.12180535501057962
11,0.4171783609551725
12,0.9482482468131205
13,0.19138668599295894
14,0.6035555074286068
15,0.9331774018366947
16,0.24319362029824174
17,0.7177968850434577
18,0.7900016157749308
19,0.6470063451069247
20,0.8907176245433847
21,0.37962497769758136
22,0.9184884306221998
23,0.29198299039793635
24,0.8062428024932384
25,0.6092398490922407
26,0.9284599559441874
27,0.25904605799398944
28,0.7485706715438799
29,0.7340292228680758
30,0.7613982590906816
31,0.7085167055630075
32,0.8054310556544851
33,0.6111762939429686
34,0.9267953434939159
35,0.2645983656104503
36,0.7588856750542422
37,0.7136150082816662
38,0.7970376501236123
39,0.6308976741952658
40,0.9081766156720531
41,0.3252282166321853
42,0.8558738125798911
43,0.4810799351274248
44,0.9736039214663483
45,0.10022736972961815
46,0.35170919193813227
47,0.8892383613529973
48,0.3841246423998107
49,0.9226343158540102
50,0.2783829167441896
51,0.78345488679583
52,0.6616479758910965
53,0.8730927343722149
54,0.4321270650787892
55,0.9570337323502063
56,0.16036865322675606
57,0.5251371383270708
58,0.9725356846792304
59,0.10416910414845085
60,0.36393981736850417
61,0.9028017441389076
62,0.34222794418275077
63,0.8779211157724753
64,0.4179849579878204
65,0.9487667782465876
66,0.1895726770944944
67,0.5991760210555117
68,0.9366400557056271
69,0.23144730083820864
70,0.6937298463143738
71,0.8286281119233355
72,0.5538138998094443
73,0.9637058503304664
74,0.13640984904026643
75,0.4594285882878048
76,0.9685804461515501
77,0.11868622538921543
78,0.40793924063909554
79,0.941946784684985
80,0.2132638540757535
81,0.654351292219986
82,0.8820851465010798
83,0.4056426692106686
84,0.9402771070926195
85,0.21900866898360094
86,0.6670711003851665
87,0.8661402649227495
88,0.45217109496896524
89,0.9660783437897759
90,0.12780681205570005
91,0.4347417003066501
92,0.9583912818524185
93,0.1555219876146168
94,0.5122061060337615
95,0.974418942804421
96,0.09721400016250857
97,0.34227740950615815
98,0.8779819793468563
99,0.41780553082722754
100,0.948651870025884
101,0.18997484813688134
102,0.6001491803277759
103,0.9358835525507311
104,0.2340215616014408
105,0.699096334197549
106,0.8204065338654817
107,0.574624646919601
108,0.953281532081287
109,0.17368982542876074
110,0.5597345128880207
111,0.9610839730831204
112,0.14586612208694866
113,0.4858978664056298
114,0.9742244063295374
115,0.0979337285214513
116,0.3445365820234181
117,0.8807413901170504
118,0.40964037602177045
119,0.9431570395826006
120,0.2090861692467031
121,0.6449396579981242
122,0.8930707326036084
123,0.3724320567648042
124,0.9115330374490932
125,0.3144981804429007
126,0.8407973922699209
127,0.5220428359458845
128,0.973105042195505
129,0.10206931429183887
130,0.3574395605501475
131,0.8957384323050732
132,0.3642252634672196
133,0.9031043615858709
134,0.34127680731474497
135,0.8767470976048176
136,0.42144033534074954
137,0.9509306784456418
138,0.18197994062255737
139,0.5805666431509147
140,0.9496851624444334
141,0.186354693241562
142,0.5913438240387808
143,0.9424595926588918
144,0.21149508457009744
145,0.6503831637138605
146,0.8868011258784999
147,0.39150106717458694
148,0.9290891281454114
149,0.2569418284189016
150,0.7445986283878481
151,0.7416688928640552
152,0.7472249702652609
153,0.7366312749016294
154,0.756621994979875
155,0.7181660916009411
156,0.789373870254722
157,0.6484247765338328
158,0.889083334272439
159,0.3845952200666218
160,0.9230587733972613
161,0.27698296958125845
162,0.7810272761585038
163,0.666992313214235
164,0.8662429125766994
165,0.4518779030506109
166,0.9659686287622551
167,0.12820562433675242
168,0.43589887467818617
169,0.9589750783566606
170,0.1534333220452392
171,0.5065769971524644
172,0.9748312981229802
173,0.09568742945909746
174,0.33747224668017006
175,0.8719804446631532
176,0.4353591402739911
177,0.9587040810901414
178,0.1544032073658711
179,0.5091951419919114
180,0.9746702525186195
181,0.09628379035824901
182,0.33935156608274125
183,0.8743491146517353
184,0.4284646874019017
185,0.9550425263008202
186,0.16745156710529266
187,0.54370500513917
188,0.967550502850562
189,0.12244645640832783
190,0.41906795471334807
191,0.9494550157783055
192,0.18716173628772034
193,0.593315660954196
194,0.941039530940658
195,0.2163881153758132
196,0.6613007657096762
197,0.8735300456277414
198,0.430853689552016
199,0.956353272230581
